player_id,name,pos,dob,current_team,year,team,g,pa,hr,r,rbi,sb,avg,normal_hr,normal_r,normal_rbi,normal_sb,normal_avg,z_hr,z_r,z_rbi,z_sb,z_avg,value,cost,drafted
8254,Sam Fuld,OF,29910,Rays,2014,Steamer,0,1,0,0,0,0,0.234,0,0,0,0,0.234,-1.32,-1.95,-1.89,-0.86,1.99,0.00,0,0
1392,Mark DeRosa,2B/3B,27451,Blue Jays,2014,Steamer,0,1,0,0,0,0,0.234,0,0,0,0,0.234,-1.32,-1.95,-1.89,-0.86,1.99,0.00,0,0
4675,Tyler Greene,2B/SS,30545,White Sox,2014,Steamer,0,1,0,0,0,0,0.234,0,0,0,0,0.234,-1.32,-1.95,-1.89,-0.86,1.99,0.00,0,0
173,Scott Cousins,OF,31069,Angels,2014,Steamer,0,1,0,0,0,0,0.232,0,0,0,0,0.232,-1.32,-1.95,-1.89,-0.86,1.97,0.00,0,0
8810,Blake Tekotte,OF,31921,White Sox,2014,Steamer,0,1,0,0,0,0,0.232,0,0,0,0,0.232,-1.32,-1.95,-1.89,-0.86,1.97,0.00,0,0
4142,Jonathan Diaz,2B/3B,31147,Red Sox,2014,Steamer,0,1,0,0,0,0,0.231,0,0,0,0,0.231,-1.32,-1.95,-1.89,-0.86,1.96,0.00,0,0
1885,Brad Hawpe,OF,29028,Angels,2014,Steamer,0,1,0,0,0,0,0.231,0,0,0,0,0.231,-1.32,-1.95,-1.89,-0.86,1.96,0.00,0,0
2172,Hector Gimenez,C,30222,White Sox,2014,Steamer,0,1,0,0,0,0,0.231,0,0,0,0,0.231,-1.32,-1.95,-1.89,-0.86,1.96,0.00,0,0
2167,Dan Johnson,1B,29077,Orioles,2014,Steamer,0,1,0,0,0,0,0.23,0,0,0,0,0.23,-1.32,-1.95,-1.89,-0.86,1.94,0.00,0,0
4751,Elliot Johnson,2B/SS,30750,Royals,2014,Steamer,0,1,0,0,0,0,0.23,0,0,0,0,0.23,-1.32,-1.95,-1.89,-0.86,1.94,0.00,0,0
4049,Miguel Gonzalez,C,33210,White Sox,2014,Steamer,0,1,0,0,0,0,0.23,0,0,0,0,0.23,-1.32,-1.95,-1.89,-0.86,1.94,0.00,0,0
3583,Omir Santos,C,29705,Indians,2014,Steamer,0,1,0,0,0,0,0.229,0,0,0,0,0.229,-1.32,-1.95,-1.89,-0.86,1.93,0.00,0,0
4518,Doug Bernier,SS,29396,Twins,2014,Steamer,0,1,0,0,0,0,0.229,0,0,0,0,0.229,-1.32,-1.95,-1.89,-0.86,1.93,0.00,0,0
3255,Franklin Gutierrez,OF,30368,Mariners,2014,Steamer,0,1,0,0,0,0,0.229,0,0,0,0,0.229,-1.32,-1.95,-1.89,-0.86,1.93,0.00,0,0
4906,Alberto Gonzalez,2B/SS,30424,Yankees,2014,Steamer,0,1,0,0,0,0,0.228,0,0,0,0,0.228,-1.32,-1.95,-1.89,-0.86,1.92,0.00,0,0
5411,Alex Liddi,3B,32369,Mariners,2014,Steamer,0,1,0,0,0,0,0.228,0,0,0,0,0.228,-1.32,-1.95,-1.89,-0.86,1.92,0.00,0,0
7324,Chris Gimenez,C,30312,Rays,2014,Steamer,0,1,0,0,0,0,0.226,0,0,0,0,0.226,-1.32,-1.95,-1.89,-0.86,1.90,0.00,0,0
198,Danny Worth,2B,31320,Tigers,2014,Steamer,0,1,0,0,0,0,0.223,0,0,0,0,0.223,-1.32,-1.95,-1.89,-0.86,1.87,0.00,0,0
9362,Adam Moore,C,30810,Royals,2014,Steamer,0,1,0,0,0,0,0.222,0,0,0,0,0.222,-1.32,-1.95,-1.89,-0.86,1.86,0.00,0,0
